iter	Passed	Remaining
0	1	107
1	2	138
2	4	146
3	6	153
4	9	185
5	11	175
6	12	168
7	14	167
8	16	165
9	17	159
10	19	157
11	21	154
12	22	151
13	24	149
14	25	144
15	26	140
16	28	137
17	29	134
18	30	131
19	32	129
20	33	126
21	35	124
22	36	121
23	38	120
24	39	117
25	40	115
26	41	113
27	42	110
28	44	109
29	46	107
30	47	105
31	48	103
32	50	101
33	51	99
34	52	97
35	54	96
36	55	94
37	56	92
38	58	91
39	59	89
40	61	88
41	61	85
42	63	83
43	64	81
44	65	80
45	66	78
46	68	76
47	69	75
48	71	73
49	72	72
50	73	70
51	74	68
52	75	67
53	77	65
54	78	63
55	79	62
56	80	60
57	81	59
58	82	57
59	84	56
60	84	54
61	86	53
62	87	51
63	88	49
64	89	47
65	89	46
66	90	44
67	91	42
68	91	41
69	93	39
70	94	38
71	94	36
72	95	35
73	96	33
74	97	32
75	98	31
76	99	29
77	102	28
78	105	27
79	106	26
80	108	25
81	109	24
82	111	22
83	114	21
84	117	20
85	120	19
86	121	18
87	122	16
88	123	15
89	124	13
90	124	12
91	125	10
92	126	9
93	127	8
94	128	6
95	129	5
96	130	4
97	133	2
98	134	1
99	136	0
