iter	Passed	Remaining
0	0	848
1	1	693
2	1	644
3	2	602
4	3	620
5	3	597
6	4	575
7	4	556
8	4	543
9	5	535
10	5	528
11	6	519
12	6	510
13	7	506
14	7	499
15	8	494
16	8	488
17	8	483
18	9	477
19	9	473
20	10	468
21	10	464
22	10	461
23	11	458
24	11	456
25	12	454
26	12	454
27	13	452
28	13	467
29	14	469
30	15	471
31	15	469
32	15	467
33	17	505
34	18	503
35	18	504
36	19	503
37	19	503
38	21	531
39	22	531
40	22	529
41	23	535
42	24	535
43	24	533
44	25	531
45	25	530
46	26	529
47	27	538
48	27	537
49	28	537
50	28	538
51	29	537
52	30	543
53	31	543
54	31	541
55	31	538
56	32	536
57	33	538
58	33	541
59	34	540
60	35	541
61	35	542
62	36	541
63	36	540
64	37	537
65	37	536
66	38	535
67	39	544
68	40	545
69	40	543
70	41	542
71	41	541
72	42	540
73	43	540
74	46	568
75	47	579
76	48	576
77	48	573
78	48	570
79	49	567
80	49	564
81	50	561
82	50	556
83	50	553
84	51	551
85	51	549
86	52	548
87	52	546
88	53	544
89	53	542
90	54	540
91	55	549
92	56	547
93	57	549
94	57	548
95	58	547
96	58	544
97	58	542
98	59	540
99	60	543
100	60	542
101	61	540
102	61	537
103	62	535
104	62	534
105	63	532
106	63	531
107	64	530
108	64	529
109	65	528
110	65	527
111	66	526
112	66	524
113	67	525
114	68	525
115	68	525
116	69	522
117	69	521
118	70	522
119	71	523
120	71	522
121	72	522
122	75	536
123	76	540
124	77	542
125	78	543
126	79	543
127	79	544
128	80	546
129	82	550
130	83	555
131	86	566
132	87	569
133	88	571
134	89	574
135	90	578
136	92	580
137	93	582
138	94	583
139	95	583
140	96	585
141	96	584
142	98	590
143	99	589
144	99	587
145	100	585
146	100	583
147	101	582
148	101	580
149	102	579
150	102	577
151	103	575
152	103	574
153	105	579
154	106	581
155	108	584
156	109	586
157	110	588
158	112	593
159	114	600
160	115	603
161	117	606
162	118	608
163	119	610
164	121	613
165	123	618
166	124	619
167	125	622
168	126	623
169	127	624
170	129	625
171	130	627
172	131	628
173	132	630
174	134	631
175	135	633
176	135	632
177	136	630
178	136	628
179	137	626
180	138	625
181	138	623
182	139	621
183	139	619
184	140	617
185	140	615
186	141	614
187	141	612
188	142	610
189	142	608
190	143	606
191	143	604
192	144	602
193	144	600
194	145	599
195	145	597
196	146	595
197	146	593
198	147	592
199	147	590
200	148	588
201	148	587
202	149	585
203	149	583
204	150	582
205	150	581
206	151	579
207	151	578
208	152	576
209	152	574
210	153	573
211	153	571
212	154	570
213	154	568
214	155	567
215	155	565
216	156	564
217	156	562
218	157	561
219	157	560
220	158	558
221	159	557
222	159	556
223	160	554
224	160	553
225	161	551
226	161	550
227	162	549
228	162	547
229	163	546
230	164	547
231	165	548
232	166	549
233	168	550
234	169	551
235	170	552
236	171	552
237	172	553
238	173	553
239	175	555
240	176	556
241	177	556
242	178	557
243	180	558
244	182	560
245	183	561
246	184	561
247	185	562
248	187	564
249	188	565
250	189	566
251	190	565
252	191	565
253	193	567
254	194	567
255	195	569
256	197	570
257	198	571
258	200	572
259	201	572
260	202	572
261	203	573
262	204	573
263	205	573
264	206	573
265	208	574
266	209	574
267	211	576
268	212	578
269	214	581
270	216	582
271	217	582
272	219	584
273	224	596
274	225	594
275	226	593
276	226	592
277	227	590
278	232	601
279	234	603
280	236	604
281	237	605
282	240	608
283	241	609
284	243	610
285	244	611
286	246	611
287	247	610
288	248	610
289	249	610
290	250	610
291	251	610
292	253	611
293	254	611
294	255	611
295	257	611
296	258	611
297	259	611
